,g2acck,g2acck_conv,g2avrtk,g2avrtk_conv,g2sdrtk,g2sdrtk_conv,wmacck,wmacck_conv,wmrtk,wmrtk_conv,wmsdk,wmsdk_conv
0,98.809524,0.98809524,303.650794,0.303650794,82.254271,0.006765765,100,1,530.833333,0.530833333,98.299943,0.009662879
1,76.190476,0.76190476,258.606557,0.258606557,256.738332,0.065914571,95.238095,0.95238095,318.333333,0.318333333,94.082491,0.008851515
2,98.214286,0.98214286,347.016129,0.347016129,80.728188,0.00651704,100,1,600,0.6,123.214521,0.015181818
3,,0,,0,,0,,0,,0,,0
4,96.428571,0.96428571,269.84127,0.26984127,52.504996,0.002756775,98.412698,0.98412698,333.333333,0.333333333,86.794777,0.007533333
5,98.214286,0.98214286,269.539683,0.269539683,76.355762,0.005830202,100,1,392.5,0.3925,86.036462,0.007402273
6,92.857143,0.92857143,241.456,0.241456,76.392292,0.005835782,88.888889,0.88888889,627.272727,0.627272727,416.079101,0.173121818
7,95.833333,0.95833333,333.360656,0.333360656,164.204119,0.026962993,90.47619,0.9047619,622.857143,0.622857143,83.808171,0.00702381
8,96.428571,0.96428571,271.769841,0.271769841,77.912172,0.006070307,100,1,442.5,0.4425,107.460352,0.011547727
9,,0,,0,,0,,0,,0,,0
10,94.642857,0.94642857,310.97561,0.31097561,83.816883,0.00702527,100,1,538.333333,0.538333333,150.745622,0.022724243
11,98.214286,0.98214286,281.119048,0.281119048,63.598944,0.004044826,93.650794,0.93650794,472.222222,0.472222222,228.952931,0.052419445
12,94.047619,0.94047619,298.290598,0.298290598,100.758251,0.010152225,98.412698,0.98412698,440,0.44,100.453517,0.010090909
13,85.714286,0.85714286,181.73913,0.18173913,169.381024,0.028689931,93.650794,0.93650794,622.222222,0.622222222,161.072792,0.025944444
14,97.02381,0.9702381,270.48,0.27048,80.791009,0.006527187,96.825397,0.96825397,509.909091,0.509909091,215.49035,0.046436091
15,,0,,0,,0,,0,,0,,0
16,95.833333,0.95833333,289.598361,0.289598361,180.903639,0.032726127,95.238095,0.95238095,561.666667,0.561666667,174.76391,0.030542424
17,97.02381,0.9702381,294.761905,0.294761905,88.991813,0.007919543,77.777778,0.77777778,515.454545,0.515454545,124.528201,0.015507273
18,97.02381,0.9702381,300.007937,0.300007937,70.227345,0.00493188,98.412698,0.98412698,555.833333,0.555833333,108.05456,0.011675788
19,98.809524,0.98809524,312.785714,0.312785714,99.36773,0.009873946,100,1,693.333333,0.693333333,615.014166,0.378242424
20,,0,,0,,0,,0,,0,,0
21,97.619048,0.97619048,286.666667,0.286666667,90.721552,0.0082304,98.412698,0.98412698,516.666667,0.516666667,178.546319,0.031878788
22,98.214286,0.98214286,287.150794,0.287150794,60.509711,0.003661425,95.238095,0.95238095,395,0.395,96.247786,0.009263636
23,95.238095,0.95238095,295.365079,0.295365079,70.140271,0.004919658,100,1,409.166667,0.409166667,93.172209,0.008681061
24,98.809524,0.98809524,307.849206,0.307849206,61.007418,0.003721905,98.412698,0.98412698,406.666667,0.406666667,62.279916,0.003878788
25,70.833333,0.70833333,316.321839,0.316321839,132.218239,0.017481663,80.952381,0.80952381,510,0.51,147.535307,0.021766667
26,94.642857,0.94642857,296.446281,0.296446281,98.148353,0.009633099,98.412698,0.98412698,380,0.38,81.128406,0.006581818
27,98.214286,0.98214286,294.603175,0.294603175,76.342919,0.005828241,98.412698,0.98412698,463.333333,0.463333333,91.585363,0.008387879
28,94.047619,0.94047619,287.619048,0.287619048,74.741459,0.005586286,100,1,428.333333,0.428333333,60.727908,0.003687879
29,96.428571,0.96428571,254.4,0.2544,86.838746,0.007540968,100,1,673.333333,0.673333333,667.877688,0.446060606
30,,0,,0,,0,,0,,0,,0
31,96.428571,0.96428571,227.895161,0.227895161,104.905363,0.011005135,96.825397,0.96825397,400.833333,0.400833333,128.378583,0.016481061
32,89.880952,0.89880952,148.780488,0.148780488,142.032006,0.020173091,92.063492,0.92063492,410,0.41,109.270307,0.01194
33,94.642857,0.94642857,317.355372,0.317355372,157.542421,0.024819614,95.238095,0.95238095,461.818182,0.461818182,309.509876,0.095796363
34,98.809524,0.98809524,289.912698,0.289912698,88.634081,0.007856,100,1,450.833333,0.450833333,88.775338,0.007881061
